created_at,text
2017-11-30,"That's a wrap for our @ParticipACTION campaign! Tune in tmw to see a recap of some of the favourite photos Global News Morning received over the last 365 day. And, because we don't show enough cat gifs HERE! https://t.co/JHv9QreXrN"
2017-11-30,Global News Morning also got several photos from Michelle of Austyn Arsenault from Shelburne https://t.co/Aa808NfQX4
2017-11-30,Thanks to all our viewers who sent in lacrosse photos for today's activity. Bill Banks  sent several action shots. Plus Rene Brac from North Sydney sent us a picture as well: https://t.co/l5Fh4ufZ3N
2017-11-30,"COMMENTARY: #tbt that awkward moment Morneau's family business involvement became a political embarrassment, as the Liberals looked to close tax loopholes that help the rich, writes @mattgurney https://t.co/1upeOJ5mST"
2017-11-30,"Almost half of Canadians aren’t sure the government will be prepared to legalize pot by July 1, 2018. https://t.co/K7NJxrNQGw"
2017-11-30,Morning #NB. Global News Morning is live in 15 min. Here's a look at today's top stories in your region from 6:00-9:00am: https://t.co/bPvOmxLMZh
2017-11-30,They're neck and neck for the title. https://t.co/AphDtxtIy6
2017-11-30,The Aussies offered a James Bond-style “helicopter crawl” or seclusion in the Outback. https://t.co/Z4YDPUrI62
2017-11-30,A Florida man going by the alias Lt. Jenna Lee convinced the victim she needed to send naked photos in order for her Coast Guard application to be considered. https://t.co/z5eFjErINj
2017-11-30,"In the initial tweet, which has since been deleted, he tagged Twitter user @TheresaMay, which isn’t the handle for the British PM. (May’s verified Twitter is @Theresa_May.) https://t.co/FjrFQtefNl"
2017-11-30,"Ivar the Boneless is back (and ruthless) in the @HistoryVikings Season 5 two-hour premiere, starting at 9 p.m. ET tonight #Vikings https://t.co/xR8qGcXk9t"
2017-11-30,"If your worrying really has you worried, here are some tips to rein it in. https://t.co/fUW3zY6RtH"
2017-11-30,Some Ontario homeowners are concerned about lead and arsenic in their soil after learning that a radioactive cleanup project did not share contamination details. https://t.co/QAFzoee7OO
2017-11-29,.@selenagomez holds on to most-Instagram-followers crown in 2017 https://t.co/0zJnKTLYgf
2017-11-29,"The arts and cultural community in Saint John is hoping to avoid the city's budgetary axe #NewBrunswick
https://t.co/ZeAGkfuRsv"
2017-11-29,No comment about the calendar from the prime minister’s press secretary. https://t.co/QW7aNWMyYb
2017-11-29,Part of a Pepsi logo was discovered on a lobster's claw in New Brunswick. https://t.co/lHoqCotQ7X
2017-11-29,"Updated: The lockdown has been lifted and police have found nothing after searching  the hospital  #NovaScotia
https://t.co/u6HfVZ8wIJ"
2017-11-29,".@MLauer allegedly had a button under his desk, allowing him to lock his door from the inside https://t.co/TYlVWgrf5g"
2017-11-29,"Updated: A full recap of Wednesday's testimony at the Christopher Garnier murder trial 
https://t.co/1JeERspucS"
2017-11-29,"A missing Florida teenager believed to be with her 27-year-old soccer coach may be heading to Canada, police say. https://t.co/drLfGAMdKC"
2017-11-29,"Liberal MLAs refuse to repeat Nova Scotia Premier’s attack of auditor general 
https://t.co/G6alSeP4PK"
2017-11-29,Twin Oaks Memorial Hospital in #NovaScotia under lockdown after receiving bomb threat https://t.co/agRWPrmnFI
2017-11-29,Looks like a win for @StephenAtHome https://t.co/28ApdRCxoj
2017-11-29,#NewBrunswick youngster handcrafting magic wands to help sick kids https://t.co/4yzVduuNdf
2017-11-29,".@AJKreisberg worked on multiple Vancouver-shot shows, including @CW_Arrow and @TheCWSupergirl https://t.co/Jsi6AXKAxa"
2017-11-29,#Halifax police investigating after assault call in #Dartmouth https://t.co/0ziCx67jxT
2017-11-29,The program aims to curb the nearly 8 per cent of preterm births and 700 stillbirths that happen each year. https://t.co/mRNuofQSj2
2017-11-29,"Is your average commute to work longer than 34 minutes? If so, you have our sympathies. https://t.co/m0YnfbWL6z"
2017-11-29,WATCH LIVE: Question Period in the House of Commons https://t.co/0heoHm24Ig #cdnpoli
2017-11-29,"“If he won’t step down, it’s Justin Trudeau’s responsibility to remove Bill Morneau from his post,” Scheer said. https://t.co/IdAXgHfCqh"
2017-11-29,"Two teenagers have been arrested in connection to a break-in and vandalism at a New Brunswick church #NewBrunswick
https://t.co/44FeGVEDlF"
